uni_name,foundation_year,type,city,region,year
BİNGÖL ÜNİVERSİTESİ,29.05.2007,DEVLET,Bingöl,DOĞU ANADOLU,2019
BİRUNİ ÜNİVERSİTESİ,27.02.2014,VAKIF,İstanbul,MARMARA,2019
BİTLİS EREN ÜNİVERSİTESİ,29.05.2007,DEVLET,Bitlis,DOĞU ANADOLU,2019
BOĞAZİÇİ ÜNİVERSİTESİ,12.09.1971,DEVLET,İstanbul,MARMARA,2019
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,11.07.1992,DEVLET,Bolu,KARADENİZ,2019
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,17.03.2006,DEVLET,Burdur,AKDENİZ,2019
BURSA TEKNİK ÜNİVERSİTESİ,21.07.2010,DEVLET,Bursa,MARMARA,2019
BURSA ULUDAĞ ÜNİVERSİTESİ,11.04.1975,DEVLET,Bursa,MARMARA,2019
ÇAĞ ÜNİVERSİTESİ,15.07.1997,VAKIF,Mersin,AKDENİZ,2019
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,11.07.1992,DEVLET,Çanakkale,MARMARA,2019
ÇANKAYA ÜNİVERSİTESİ,15.07.1997,VAKIF,Ankara,İÇ ANADOLU,2019
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,29.05.2007,DEVLET,Çankırı,İÇ ANADOLU,2019
ÇUKUROVA ÜNİVERSİTESİ,30.11.1973,DEVLET,Adana,AKDENİZ,2019
DEMİROĞLU BİLİM ÜNİVERSİTESİ,28.03.2006,VAKIF,İstanbul,MARMARA,2019
DİCLE ÜNİVERSİTESİ,30.11.1973,DEVLET,Diyarbakır,GÜNEYDOĞU ANADOLU,2019
DOĞUŞ ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2019
DOKUZ EYLÜL ÜNİVERSİTESİ,20.07.1982,DEVLET,İzmir,EGE,2019
DÜZCE ÜNİVERSİTESİ,17.03.2006,DEVLET,Düzce,KARADENİZ,2019
EGE ÜNİVERSİTESİ,01.01.1955,DEVLET,İzmir,EGE,2019
ERCİYES ÜNİVERSİTESİ,20.07.1982,DEVLET,Kayseri,İÇ ANADOLU,2019
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,17.03.2006,DEVLET,Erzincan,DOĞU ANADOLU,2019
ERZURUM TEKNİK ÜNİVERSİTESİ,21.07.2010,DEVLET,Erzurum,DOĞU ANADOLU,2019
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,18.08.1993,DEVLET,Eskişehir,İÇ ANADOLU,2019
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,18.05.2018,DEVLET,Eskişehir,İÇ ANADOLU,2019
FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU,06.03.2010,VAKIF MYO,Bursa,MARMARA,2019
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2019
FENERBAHÇE ÜNİVERSİTESİ,24.11.2016,VAKIF,İstanbul,MARMARA,2019
FIRAT ÜNİVERSİTESİ,11.04.1975,DEVLET,Elazığ,DOĞU ANADOLU,2019
GALATASARAY ÜNİVERSİTESİ,06.06.1994,DEVLET,İstanbul,MARMARA,2019
GAZİ ÜNİVERSİTESİ,20.07.1982,DEVLET,Ankara,İÇ ANADOLU,2019
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Gaziantep,GÜNEYDOĞU ANADOLU,2019
GAZİANTEP ÜNİVERSİTESİ,27.06.1987,DEVLET,Gaziantep,GÜNEYDOĞU ANADOLU,2019
GEBZE TEKNİK ÜNİVERSİTESİ,11.07.1992,DEVLET,Kocaeli,MARMARA,2019
GİRESUN ÜNİVERSİTESİ,17.03.2006,DEVLET,Giresun,KARADENİZ,2019
GÜMÜŞHANE ÜNİVERSİTESİ,22.05.2008,DEVLET,Gümüşhane,KARADENİZ,2019
HACETTEPE ÜNİVERSİTESİ,08.07.1967,DEVLET,Ankara,İÇ ANADOLU,2019
HAKKARİ ÜNİVERSİTESİ,31.05.2008,DEVLET,Hakkari,DOĞU ANADOLU,2019
HALİÇ ÜNİVERSİTESİ,18.01.1998,VAKIF,İstanbul,MARMARA,2019
HARRAN ÜNİVERSİTESİ,11.07.1992,DEVLET,Şanlıurfa,GÜNEYDOĞU ANADOLU,2019
HASAN KALYONCU ÜNİVERSİTESİ,31.07.2008,VAKIF,Gaziantep,GÜNEYDOĞU ANADOLU,2019
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,11.07.1992,DEVLET,Hatay,AKDENİZ,2019
HİTİT ÜNİVERSİTESİ,17.03.2006,DEVLET,Çorum,KARADENİZ,2019
IĞDIR ÜNİVERSİTESİ,22.05.2008,DEVLET,Iğdır,DOĞU ANADOLU,2019
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,18.05.2018,DEVLET,Isparta,AKDENİZ,2019
IŞIK ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2019
İBN HALDUN ÜNİVERSİTESİ,23.04.2015,VAKIF,İstanbul,MARMARA,2019
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,22.05.1985,VAKIF,Ankara,İÇ ANADOLU,2019
İNÖNÜ ÜNİVERSİTESİ,03.04.1975,DEVLET,Malatya,DOĞU ANADOLU,2019
İSKENDERUN TEKNİK ÜNİVERSİTESİ,23.04.2015,DEVLET,Hatay,AKDENİZ,2019
İSTANBUL AREL ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2019
İSTANBUL ATLAS ÜNİVERSİTESİ,18.05.2018,VAKIF,İstanbul,MARMARA,2019
İSTANBUL AYDIN ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2019
İSTANBUL AYVANSARAY ÜNİVERSİTESİ,24.11.2016,VAKIF,İstanbul,MARMARA,2019
İSTANBUL BİLGİ ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2019
İSTANBUL ESENYURT ÜNİVERSİTESİ,18.06.2013,VAKIF,İstanbul,MARMARA,2019
İSTANBUL GALATA ÜNİVERSİTESİ,12.06.2019,VAKIF,İstanbul,MARMARA,2019
İSTANBUL GEDİK ÜNİVERSİTESİ,03.03.2011,VAKIF,İstanbul,MARMARA,2019
İSTANBUL GELİŞİM ÜNİVERSİTESİ,03.03.2011,VAKIF,İstanbul,MARMARA,2019
İSTANBUL KENT ÜNİVERSİTESİ,07.09.2016,VAKIF,İstanbul,MARMARA,2019
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2019
İSTANBUL MEDENİYET ÜNİVERSİTESİ,21.07.2010,DEVLET,İstanbul,MARMARA,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,07.07.2009,VAKIF,İstanbul,MARMARA,2019
İSTANBUL OKAN ÜNİVERSİTESİ,18.12.1999,VAKIF,İstanbul,MARMARA,2019
İSTANBUL RUMELİ ÜNİVERSİTESİ,23.04.2015,VAKIF,İstanbul,MARMARA,2019
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2019
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,06.03.2010,VAKIF MYO,İstanbul,MARMARA,2019
İSTANBUL ŞEHİR ÜNİVERSİTESİ,22.05.2008,VAKIF,İstanbul,MARMARA,2019
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,18.05.2012,VAKIF MYO,İstanbul,MARMARA,2019
İSTANBUL TEKNİK ÜNİVERSİTESİ,01.01.1944,DEVLET,İstanbul,MARMARA,2019
İSTANBUL TİCARET ÜNİVERSİTESİ,14.04.2001,VAKIF,İstanbul,MARMARA,2019
İSTANBUL ÜNİVERSİTESİ,18.11.1933,DEVLET,İstanbul,MARMARA,2019
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,18.05.2018,DEVLET,İstanbul,MARMARA,2019
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,28.02.2009,VAKIF,İstanbul,MARMARA,2019
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2019
İSTİNYE ÜNİVERSİTESİ,23.04.2015,VAKIF,İstanbul,MARMARA,2019
İZMİR BAKIRÇAY ÜNİVERSİTESİ,07.09.2016,DEVLET,İzmir,EGE,2019
İZMİR DEMOKRASİ ÜNİVERSİTESİ,07.09.2016,DEVLET,İzmir,EGE,2019
İZMİR EKONOMİ ÜNİVERSİTESİ,14.04.2001,VAKIF,İzmir,EGE,2019
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,21.07.2010,DEVLET,İzmir,EGE,2019
İZMİR KAVRAM MESLEK YÜKSEKOKULU,12.07.2008,VAKIF MYO,İzmir,EGE,2019
İZMİR TINAZTEPE ÜNİVERSİTESİ,18.05.2018,VAKIF,İzmir,EGE,2019
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,11.07.1992,DEVLET,İzmir,EGE,2019
KADİR HAS ÜNİVERSİTESİ,30.05.1997,VAKIF,İstanbul,MARMARA,2019
KAFKAS ÜNİVERSİTESİ,11.07.1992,DEVLET,Kars,DOĞU ANADOLU,2019
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,18.05.2018,DEVLET,Kahramanmaraş,AKDENİZ,2019
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,11.07.1992,DEVLET,Kahramanmaraş,AKDENİZ,2019
KAPADOKYA ÜNİVERSİTESİ,16.09.2005,VAKIF,Nevşehir,İÇ ANADOLU,2019
KARABÜK ÜNİVERSİTESİ,29.05.2007,DEVLET,Karabük,KARADENİZ,2019
KARADENİZ TEKNİK ÜNİVERSİTESİ,20.05.1955,DEVLET,Trabzon,KARADENİZ,2019
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,29.05.2007,DEVLET,Karaman,İÇ ANADOLU,2019
KASTAMONU ÜNİVERSİTESİ,17.03.2006,DEVLET,Kastamonu,KARADENİZ,2019
KAYSERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Kayseri,İÇ ANADOLU,2019
KIRIKKALE ÜNİVERSİTESİ,11.07.1992,DEVLET,Kırıkkale,İÇ ANADOLU,2019
KIRKLARELİ ÜNİVERSİTESİ,29.05.2007,DEVLET,Kırklareli,MARMARA,2019
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Kırşehir,İÇ ANADOLU,2019
KİLİS 7 ARALIK ÜNİVERSİTESİ,29.05.2007,DEVLET,Kilis,GÜNEYDOĞU ANADOLU,2019
KOCAELİ ÜNİVERSİTESİ,11.07.1992,DEVLET,Kocaeli,MARMARA,2019
KOÇ ÜNİVERSİTESİ,07.03.1992,VAKIF,İstanbul,MARMARA,2019
KONYA GIDA VE TARIM ÜNİVERSİTESİ,18.06.2013,VAKIF,Konya,İÇ ANADOLU,2019
KONYA TEKNİK ÜNİVERSİTESİ,18.05.2018,DEVLET,Konya,İÇ ANADOLU,2019
KTO KARATAY ÜNİVERSİTESİ,07.07.2009,VAKIF,Konya,İÇ ANADOLU,2019
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,11.07.1992,DEVLET,Kütahya,EGE,2019
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Kütahya,EGE,2019
LOKMAN HEKİM ÜNİVERSİTESİ,20.12.2017,VAKIF,Ankara,İÇ ANADOLU,2019
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,18.05.2018,DEVLET,Malatya,DOĞU ANADOLU,2019
MALTEPE ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2019
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,11.07.1992,DEVLET,Manisa,EGE,2019
MARDİN ARTUKLU ÜNİVERSİTESİ,29.05.2007,DEVLET,Mardin,GÜNEYDOĞU ANADOLU,2019
MARMARA ÜNİVERSİTESİ,20.07.1982,DEVLET,İstanbul,MARMARA,2019
MEF ÜNİVERSİTESİ,27.04.2012,VAKIF,İstanbul,MARMARA,2019
MERSİN ÜNİVERSİTESİ,11.07.1992,DEVLET,Mersin,AKDENİZ,2019
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,20.07.1982,DEVLET,İstanbul,MARMARA,2019
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,11.07.1992,DEVLET,Muğla,EGE,2019
MUNZUR ÜNİVERSİTESİ,22.05.2008,DEVLET,Tunceli,DOĞU ANADOLU,2019
MUŞ ALPARSLAN ÜNİVERSİTESİ,29.05.2007,DEVLET,Muş,DOĞU ANADOLU,2019
NECMETTİN ERBAKAN ÜNİVERSİTESİ,11.04.2012,DEVLET,Konya,İÇ ANADOLU,2019
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,29.05.2007,DEVLET,Nevşehir,İÇ ANADOLU,2019
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,11.07.1992,DEVLET,Niğde,İÇ ANADOLU,2019
NİŞANTAŞI ÜNİVERSİTESİ,17.09.2009,VAKIF,İstanbul,MARMARA,2019
NUH NACİ YAZGAN ÜNİVERSİTESİ,07.07.2009,VAKIF,Kayseri,İÇ ANADOLU,2019
ONDOKUZ MAYIS ÜNİVERSİTESİ,11.04.1975,DEVLET,Samsun,KARADENİZ,2019
ORDU ÜNİVERSİTESİ,17.03.2006,DEVLET,Ordu,KARADENİZ,2019
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,15.11.1956,DEVLET,Ankara,İÇ ANADOLU,2019
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,29.05.2007,DEVLET,Osmaniye,AKDENİZ,2019
OSTİM TEKNİK ÜNİVERSİTESİ,01.07.2017,VAKIF,Ankara,İÇ ANADOLU,2019
ÖZYEĞİN ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2019
PAMUKKALE ÜNİVERSİTESİ,11.07.1992,DEVLET,Denizli,EGE,2019
PİRİ REİS ÜNİVERSİTESİ,30.01.2008,VAKIF,İstanbul,MARMARA,2019
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Rize,KARADENİZ,2019
SABANCI ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2019
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,15.04.2015,DEVLET,İstanbul,MARMARA,2019
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,18.05.2018,DEVLET,Sakarya,MARMARA,2019
SAKARYA ÜNİVERSİTESİ,11.07.1992,DEVLET,Sakarya,MARMARA,2019
SAMSUN ÜNİVERSİTESİ,18.05.2018,DEVLET,Samsun,KARADENİZ,2019
SANKO ÜNİVERSİTESİ,18.06.2013,VAKIF,Gaziantep,GÜNEYDOĞU ANADOLU,2019
SELÇUK ÜNİVERSİTESİ,11.04.1975,DEVLET,Konya,İÇ ANADOLU,2019
SEMERKAND BİLİM VE MEDENİYET ÜNİVERSİTESİ,18.05.2018,VAKIF,İstanbul,MARMARA,2019
SİİRT ÜNİVERSİTESİ,29.05.2007,DEVLET,Siirt,GÜNEYDOĞU ANADOLU,2019
SİNOP ÜNİVERSİTESİ,29.05.2007,DEVLET,Sinop,KARADENİZ,2019
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Sivas,İÇ ANADOLU,2019
SİVAS CUMHURİYET ÜNİVERSİTESİ,09.02.1974,DEVLET,Sivas,İÇ ANADOLU,2019
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,11.07.1992,DEVLET,Isparta,AKDENİZ,2019
ŞIRNAK ÜNİVERSİTESİ,22.05.2008,DEVLET,Şırnak,GÜNEYDOĞU ANADOLU,2019
TARSUS ÜNİVERSİTESİ,18.05.2018,DEVLET,Mersin,AKDENİZ,2019
TED ÜNİVERSİTESİ,07.07.2009,VAKIF,Ankara,İÇ ANADOLU,2019
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,17.03.2006,DEVLET,Tekirdağ,MARMARA,2019
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,01.07.2003,VAKIF,Ankara,İÇ ANADOLU,2019
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,11.07.1992,DEVLET,Tokat,KARADENİZ,2019
TOROS ÜNİVERSİTESİ,07.07.2009,VAKIF,Mersin,AKDENİZ,2019
TRABZON ÜNİVERSİTESİ,18.05.2018,DEVLET,Trabzon,KARADENİZ,2019
TRAKYA ÜNİVERSİTESİ,20.07.1982,DEVLET,Edirne,MARMARA,2019
TÜRK HAVA KURUMU ÜNİVERSİTESİ,03.03.2011,VAKIF,Ankara,İÇ ANADOLU,2019
TÜRK-ALMAN ÜNİVERSİTESİ,07.11.2010,DEVLET,İstanbul,MARMARA,2019
"TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ",23.04.2015,DEVLET,İstanbul,MARMARA,2019
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,24.06.2017,DEVLET,İstanbul,MARMARA,2019
UFUK ÜNİVERSİTESİ,18.12.1999,VAKIF,Ankara,İÇ ANADOLU,2019
UŞAK ÜNİVERSİTESİ,17.03.2006,DEVLET,Uşak,EGE,2019
ÜSKÜDAR ÜNİVERSİTESİ,03.03.2011,VAKIF,İstanbul,MARMARA,2019
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,20.07.1982,DEVLET,Van,DOĞU ANADOLU,2019
YALOVA ÜNİVERSİTESİ,22.05.2008,DEVLET,Yalova,MARMARA,2019
YAŞAR ÜNİVERSİTESİ,14.04.2001,VAKIF,İzmir,EGE,2019
YEDİTEPE ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2019
YILDIZ TEKNİK ÜNİVERSİTESİ,20.07.1982,DEVLET,İstanbul,MARMARA,2019
YOZGAT BOZOK ÜNİVERSİTESİ,17.03.2006,DEVLET,Yozgat,İÇ ANADOLU,2019
YÜKSEK İHTİSAS ÜNİVERSİTESİ,02.08.2013,VAKIF,Ankara,İÇ ANADOLU,2019
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,11.07.1992,DEVLET,Zonguldak,KARADENİZ,2019
ABDULLAH GÜL ÜNİVERSİTESİ,21.07.2010,DEVLET,Kayseri,İÇ ANADOLU,2018
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2018
ADANA BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,14.04.2011,DEVLET,Adana,AKDENİZ,2018
ADIYAMAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Adıyaman,GÜNEYDOĞU ANADOLU,2018
AFYON KOCATEPE ÜNİVERSİTESİ,11.07.1992,DEVLET,Afyonkarahisar,EGE,2018
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Afyonkarahisar,EGE,2018
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,29.05.2007,DEVLET,Ağrı,DOĞU ANADOLU,2018
AKDENİZ ÜNİVERSİTESİ,20.07.1982,DEVLET,Antalya,AKDENİZ,2018
AKSARAY ÜNİVERSİTESİ,17.03.2006,DEVLET,Aksaray,İÇ ANADOLU,2018
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,23.04.2015,DEVLET,Antalya,AKDENİZ,2018
ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,03.03.2011,VAKIF,Antalya,AKDENİZ,2018
ALTINBAŞ ÜNİVERSİTESİ,22.05.2008,VAKIF,İstanbul,MARMARA,2018
AMASYA ÜNİVERSİTESİ,17.03.2006,DEVLET,Amasya,KARADENİZ,2018
ANADOLU ÜNİVERSİTESİ,30.11.1973,DEVLET,Eskişehir,İÇ ANADOLU,2018
ANKA TEKNOLOJİ ÜNİVERSİTESİ,18.06.2013,VAKIF,Ankara,İÇ ANADOLU,2018
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Ankara,İÇ ANADOLU,2018
ANKARA MEDİPOL ÜNİVERSİTESİ,18.05.2018,VAKIF,Ankara,İÇ ANADOLU,2018
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,01.07.2017,DEVLET,Ankara,İÇ ANADOLU,2018
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,31.01.2013,DEVLET,Ankara,İÇ ANADOLU,2018
ANKARA ÜNİVERSİTESİ,13.06.1946,DEVLET,Ankara,İÇ ANADOLU,2018
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,21.07.2010,DEVLET,Ankara,İÇ ANADOLU,2018
ANTALYA AKEV ÜNİVERSİTESİ,23.04.2015,VAKIF,Antalya,AKDENİZ,2018
ANTALYA BİLİM ÜNİVERSİTESİ,21.07.2010,VAKIF,Antalya,AKDENİZ,2018
ARDAHAN ÜNİVERSİTESİ,22.05.2008,DEVLET,Ardahan,DOĞU ANADOLU,2018
ARTVİN ÇORUH ÜNİVERSİTESİ,29.05.2007,DEVLET,Artvin,KARADENİZ,2018
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,16.03.2014,VAKIF MYO,İstanbul,MARMARA,2018
ATATÜRK ÜNİVERSİTESİ,31.05.1957,DEVLET,Erzurum,DOĞU ANADOLU,2018
ATILIM ÜNİVERSİTESİ,15.07.1997,VAKIF,Ankara,İÇ ANADOLU,2018
AVRASYA ÜNİVERSİTESİ,10.12.2010,VAKIF,Trabzon,KARADENİZ,2018
AVRUPA MESLEK YÜKSEKOKULU,05.09.2009,VAKIF MYO,Kocaeli,MARMARA,2018
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,11.07.1992,DEVLET,Aydın,EGE,2018
BAHÇEŞEHİR ÜNİVERSİTESİ,18.01.1998,VAKIF,İstanbul,MARMARA,2018
BALIKESİR ÜNİVERSİTESİ,11.07.1992,DEVLET,Balıkesir,MARMARA,2018
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,23.04.2015,DEVLET,Balıkesir,MARMARA,2018
BARTIN ÜNİVERSİTESİ,22.05.2008,DEVLET,Bartın,KARADENİZ,2018
BAŞKENT ÜNİVERSİTESİ,15.01.1994,VAKIF,Ankara,İÇ ANADOLU,2018
BATMAN ÜNİVERSİTESİ,29.05.2007,DEVLET,Batman,GÜNEYDOĞU ANADOLU,2018
BAYBURT ÜNİVERSİTESİ,22.05.2008,DEVLET,Bayburt,KARADENİZ,2018
BEYKENT ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2018
BEYKOZ ÜNİVERSİTESİ,07.09.2016,VAKIF,İstanbul,MARMARA,2018
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2018
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,29.05.2007,DEVLET,Bilecik,MARMARA,2018
BİNGÖL ÜNİVERSİTESİ,29.05.2007,DEVLET,Bingöl,DOĞU ANADOLU,2018
BİRUNİ ÜNİVERSİTESİ,27.02.2014,VAKIF,İstanbul,MARMARA,2018
BİTLİS EREN ÜNİVERSİTESİ,29.05.2007,DEVLET,Bitlis,DOĞU ANADOLU,2018
BOĞAZİÇİ ÜNİVERSİTESİ,12.09.1971,DEVLET,İstanbul,MARMARA,2018
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,11.07.1992,DEVLET,Bolu,KARADENİZ,2018
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,17.03.2006,DEVLET,Burdur,AKDENİZ,2018
BURSA TEKNİK ÜNİVERSİTESİ,21.07.2010,DEVLET,Bursa,MARMARA,2018
BURSA ULUDAĞ ÜNİVERSİTESİ,11.04.1975,DEVLET,Bursa,MARMARA,2018
ÇAĞ ÜNİVERSİTESİ,15.07.1997,VAKIF,Mersin,AKDENİZ,2018
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,11.07.1992,DEVLET,Çanakkale,MARMARA,2018
ÇANKAYA ÜNİVERSİTESİ,15.07.1997,VAKIF,Ankara,İÇ ANADOLU,2018
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,29.05.2007,DEVLET,Çankırı,İÇ ANADOLU,2018
ÇUKUROVA ÜNİVERSİTESİ,30.11.1973,DEVLET,Adana,AKDENİZ,2018
DİCLE ÜNİVERSİTESİ,30.11.1973,DEVLET,Diyarbakır,GÜNEYDOĞU ANADOLU,2018
DOĞUŞ ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2018
DOKUZ EYLÜL ÜNİVERSİTESİ,20.07.1982,DEVLET,İzmir,EGE,2018
DÜZCE ÜNİVERSİTESİ,17.03.2006,DEVLET,Düzce,KARADENİZ,2018
EGE ÜNİVERSİTESİ,01.01.1955,DEVLET,İzmir,EGE,2018
ERCİYES ÜNİVERSİTESİ,20.07.1982,DEVLET,Kayseri,İÇ ANADOLU,2018
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,17.03.2006,DEVLET,Erzincan,DOĞU ANADOLU,2018
ERZURUM TEKNİK ÜNİVERSİTESİ,21.07.2010,DEVLET,Erzurum,DOĞU ANADOLU,2018
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,18.08.1993,DEVLET,Eskişehir,İÇ ANADOLU,2018
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,18.05.2018,DEVLET,Eskişehir,İÇ ANADOLU,2018
FARUK SARAÇ TASARIM MESLEK YÜKSEKOKULU,06.03.2010,VAKIF MYO,Bursa,MARMARA,2018
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2018
FENERBAHÇE ÜNİVERSİTESİ,24.11.2016,VAKIF,İstanbul,MARMARA,2018
FIRAT ÜNİVERSİTESİ,11.04.1975,DEVLET,Elazığ,DOĞU ANADOLU,2018
GALATASARAY ÜNİVERSİTESİ,06.06.1994,DEVLET,İstanbul,MARMARA,2018
GAZİ ÜNİVERSİTESİ,20.07.1982,DEVLET,Ankara,İÇ ANADOLU,2018
GAZİANTEP BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Gaziantep,GÜNEYDOĞU ANADOLU,2018
GAZİANTEP ÜNİVERSİTESİ,27.06.1987,DEVLET,Gaziantep,GÜNEYDOĞU ANADOLU,2018
GEBZE TEKNİK ÜNİVERSİTESİ,11.07.1992,DEVLET,Kocaeli,MARMARA,2018
GİRESUN ÜNİVERSİTESİ,17.03.2006,DEVLET,Giresun,KARADENİZ,2018
GÜMÜŞHANE ÜNİVERSİTESİ,22.05.2008,DEVLET,Gümüşhane,KARADENİZ,2018
HACETTEPE ÜNİVERSİTESİ,08.07.1967,DEVLET,Ankara,İÇ ANADOLU,2018
HAKKARİ ÜNİVERSİTESİ,31.05.2008,DEVLET,Hakkari,DOĞU ANADOLU,2018
HALİÇ ÜNİVERSİTESİ,18.01.1998,VAKIF,İstanbul,MARMARA,2018
HARRAN ÜNİVERSİTESİ,11.07.1992,DEVLET,Şanlıurfa,GÜNEYDOĞU ANADOLU,2018
HASAN KALYONCU ÜNİVERSİTESİ,31.07.2008,VAKIF,Gaziantep,GÜNEYDOĞU ANADOLU,2018
