uni_type,city,uni_name,uni_code
Devlet,Isparta,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,1125
Vakıf,İstanbul,IŞIK ÜNİVERSİTESİ,2020
Vakıf,İstanbul,İBN HALDUN ÜNİVERSİTESİ,2086
Vakıf,Ankara,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,2021
Devlet,Malatya,İNÖNÜ ÜNİVERSİTESİ,1053
Devlet,Hatay,İSKENDERUN TEKNİK ÜNİVERSİTESİ,1107
Vakıf,İstanbul,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,2022
Vakıf,İstanbul,İSTANBUL AREL ÜNİVERSİTESİ,2023
Vakıf,İstanbul,İSTANBUL ATLAS ÜNİVERSİTESİ,2093
Vakıf,İstanbul,İSTANBUL AYDIN ÜNİVERSİTESİ,2024
Vakıf,İstanbul,İSTANBUL BEYKENT ÜNİVERSİTESİ,2103
Vakıf,İstanbul,İSTANBUL BİLGİ ÜNİVERSİTESİ,2025
Vakıf,İstanbul,İSTANBUL ESENYURT ÜNİVERSİTESİ,2075
Vakıf,İstanbul,İSTANBUL GALATA ÜNİVERSİTESİ,2098
Vakıf,İstanbul,İSTANBUL GEDİK ÜNİVERSİTESİ,2017
Vakıf,İstanbul,İSTANBUL GELİŞİM ÜNİVERSİTESİ,2027
Vakıf,İstanbul,İSTANBUL KENT ÜNİVERSİTESİ,2087
Vakıf,İstanbul,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,2030
Devlet,İstanbul,İSTANBUL MEDENİYET ÜNİVERSİTESİ,1054
Vakıf,İstanbul,İSTANBUL MEDİPOL ÜNİVERSİTESİ,2031
Vakıf,İstanbul,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,2104
Vakıf,İstanbul,İSTANBUL OKAN ÜNİVERSİTESİ,2047
Vakıf,İstanbul,İSTANBUL RUMELİ ÜNİVERSİTESİ,2081
Vakıf,İstanbul,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,2032
Vakıf,İstanbul,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,2094
Devlet,İstanbul,İSTANBUL TEKNİK ÜNİVERSİTESİ,1055
Vakıf,İstanbul,İSTANBUL TİCARET ÜNİVERSİTESİ,2034
Vakıf,İstanbul,İSTANBUL TOPKAPI ÜNİVERSİTESİ,2050
Devlet,İstanbul,İSTANBUL ÜNİVERSİTESİ,1056
Devlet,İstanbul,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,1116
Vakıf,İstanbul,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,2062
Vakıf,İstanbul,İSTİNYE ÜNİVERSİTESİ,2084
Devlet,İzmir,İZMİR BAKIRÇAY ÜNİVERSİTESİ,1129
Devlet,İzmir,İZMİR DEMOKRASİ ÜNİVERSİTESİ,1111
Vakıf,İzmir,İZMİR EKONOMİ ÜNİVERSİTESİ,2035
Devlet,İzmir,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,1057
Vakıf,İzmir,İZMİR TINAZTEPE ÜNİVERSİTESİ,2096
Devlet,İzmir,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,1058
Vakıf,İstanbul,KADİR HAS ÜNİVERSİTESİ,2037
Devlet,Kars,KAFKAS ÜNİVERSİTESİ,1059
Devlet,Kahramanmaraş,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,1122
Devlet,Kahramanmaraş,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,1060
Vakıf,Nevşehir,KAPADOKYA ÜNİVERSİTESİ,2038
Devlet,Karabük,KARABÜK ÜNİVERSİTESİ,1061
Devlet,Trabzon,KARADENİZ TEKNİK ÜNİVERSİTESİ,1062
Devlet,Karaman,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,1063
Devlet,Kastamonu,KASTAMONU ÜNİVERSİTESİ,1064
Devlet,Kayseri,KAYSERİ ÜNİVERSİTESİ,1123
Devlet,Kırıkkale,KIRIKKALE ÜNİVERSİTESİ,1066
Devlet,Kırklareli,KIRKLARELİ ÜNİVERSİTESİ,1067
Devlet,Kırşehir,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,1006
Devlet,Kilis,KİLİS 7 ARALIK ÜNİVERSİTESİ,1068
Vakıf,Kocaeli,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,2097
Devlet,Kocaeli,KOCAELİ ÜNİVERSİTESİ,1069
Vakıf,İstanbul,KOÇ ÜNİVERSİTESİ,2039
Vakıf,Konya,KONYA GIDA VE TARIM ÜNİVERSİTESİ,2083
Devlet,Konya,KONYA TEKNİK ÜNİVERSİTESİ,1113
Vakıf,Konya,KTO KARATAY ÜNİVERSİTESİ,2040
Devlet,Kütahya,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,1032
Devlet,Kütahya,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1114
Vakıf,Ankara,LOKMAN HEKİM ÜNİVERSİTESİ,2088
Devlet,Malatya,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,1115
Vakıf,İstanbul,MALTEPE ÜNİVERSİTESİ,2041
Devlet,Manisa,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,1025
Devlet,Mardin,MARDİN ARTUKLU ÜNİVERSİTESİ,1071
Devlet,İstanbul,MARMARA ÜNİVERSİTESİ,1072
Vakıf,İstanbul,MEF ÜNİVERSİTESİ,2072
Devlet,Mersin,MERSİN ÜNİVERSİTESİ,1074
Devlet,İstanbul,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,1075
Vakıf,Bursa,MUDANYA ÜNİVERSİTESİ,2100
Devlet,Muğla,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,1076
Devlet,Tunceli,MUNZUR ÜNİVERSİTESİ,1095
Devlet,Muş,MUŞ ALPARSLAN ÜNİVERSİTESİ,1078
Devlet,Konya,NECMETTİN ERBAKAN ÜNİVERSİTESİ,1070
Devlet,Nevşehir,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,1080
Devlet,Niğde,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,1081
Vakıf,Kayseri,NUH NACİ YAZGAN ÜNİVERSİTESİ,2046
Devlet,Samsun,ONDOKUZ MAYIS ÜNİVERSİTESİ,1082
Devlet,Ordu,ORDU ÜNİVERSİTESİ,1083
Devlet,Ankara,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,1084
Devlet,Osmaniye,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,1085
Vakıf,Ankara,OSTİM TEKNİK ÜNİVERSİTESİ,2091
Vakıf,İstanbul,ÖZYEĞİN ÜNİVERSİTESİ,2048
Devlet,Denizli,PAMUKKALE ÜNİVERSİTESİ,1086
Vakıf,İstanbul,PİRİ REİS ÜNİVERSİTESİ,2049
Devlet,Rize,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,1087
Vakıf,İstanbul,SABANCI ÜNİVERSİTESİ,2051
Devlet,İstanbul,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,Sakarya,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,1118
Devlet,Sakarya,SAKARYA ÜNİVERSİTESİ,1088
Devlet,Samsun,SAMSUN ÜNİVERSİTESİ,1127
Vakıf,Gaziantep,SANKO ÜNİVERSİTESİ,2077
Devlet,Konya,SELÇUK ÜNİVERSİTESİ,1089
Devlet,Siirt,SİİRT ÜNİVERSİTESİ,1090
Devlet,Sinop,SİNOP ÜNİVERSİTESİ,1091
Devlet,Sivas,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1119
Devlet,Sivas,SİVAS CUMHURİYET ÜNİVERSİTESİ,1026
Devlet,Isparta,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,1092
Devlet,Şırnak,ŞIRNAK ÜNİVERSİTESİ,1093
Devlet,Mersin,TARSUS ÜNİVERSİTESİ,1120
Vakıf,Ankara,TED ÜNİVERSİTESİ,2067
Devlet,Tekirdağ,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1079
Vakıf,Ankara,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,2054
Devlet,Tokat,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,1043
Vakıf,Mersin,TOROS ÜNİVERSİTESİ,2055
Devlet,Trabzon,TRABZON ÜNİVERSİTESİ,1121
Devlet,Edirne,TRAKYA ÜNİVERSİTESİ,1094
Vakıf,Ankara,TÜRK HAVA KURUMU ÜNİVERSİTESİ,2057
Devlet,İstanbul,TÜRK-ALMAN ÜNİVERSİTESİ,1096
Vakıf,Ankara,UFUK ÜNİVERSİTESİ,2058
Devlet,Uşak,UŞAK ÜNİVERSİTESİ,1098
Vakıf,İstanbul,ÜSKÜDAR ÜNİVERSİTESİ,2065
Devlet,Van,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,1102
Devlet,Yalova,YALOVA ÜNİVERSİTESİ,1099
Vakıf,İzmir,YAŞAR ÜNİVERSİTESİ,2060
Vakıf,İstanbul,YEDİTEPE ÜNİVERSİTESİ,2061
Devlet,İstanbul,YILDIZ TEKNİK ÜNİVERSİTESİ,1101
Devlet,Yozgat,YOZGAT BOZOK ÜNİVERSİTESİ,1023
Vakıf,Ankara,YÜKSEK İHTİSAS ÜNİVERSİTESİ,2079
Devlet,Zonguldak,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,1103
Devlet,Ankara,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,Adana,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,Erzurum,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,Bursa,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,Trabzon,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,İzmir,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
Devlet,Kayseri,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1110
