uni_code,type,name,city
1006,Devlet,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,Kırşehir
1068,Devlet,KİLİS 7 ARALIK ÜNİVERSİTESİ,Kilis
1069,Devlet,KOCAELİ ÜNİVERSİTESİ,Kocaeli
1113,Devlet,KONYA TEKNİK ÜNİVERSİTESİ,Konya
1032,Devlet,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,Kütahya
1114,Devlet,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Kütahya
1115,Devlet,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,Malatya
1025,Devlet,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Manisa
1071,Devlet,MARDİN ARTUKLU ÜNİVERSİTESİ,Mardin
1072,Devlet,MARMARA ÜNİVERSİTESİ,İstanbul
1074,Devlet,MERSİN ÜNİVERSİTESİ,Mersin
1075,Devlet,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,İstanbul
1076,Devlet,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Muğla
1095,Devlet,MUNZUR ÜNİVERSİTESİ,Tunceli
1078,Devlet,MUŞ ALPARSLAN ÜNİVERSİTESİ,Muş
1070,Devlet,NECMETTİN ERBAKAN ÜNİVERSİTESİ,Konya
1080,Devlet,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Nevşehir
1081,Devlet,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Niğde
1082,Devlet,ONDOKUZ MAYIS ÜNİVERSİTESİ,Samsun
1083,Devlet,ORDU ÜNİVERSİTESİ,Ordu
1084,Devlet,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Ankara
1085,Devlet,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,Osmaniye
1086,Devlet,PAMUKKALE ÜNİVERSİTESİ,Denizli
1087,Devlet,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Rize
1110,Devlet,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İstanbul
1118,Devlet,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Sakarya
1088,Devlet,SAKARYA ÜNİVERSİTESİ,Sakarya
1127,Devlet,SAMSUN ÜNİVERSİTESİ,Samsun
1089,Devlet,SELÇUK ÜNİVERSİTESİ,Konya
1090,Devlet,SİİRT ÜNİVERSİTESİ,Siirt
